Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376370650;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	163576.8;	0.0;	8.6;	0.0;	0.06666666666666667
1376370950;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	127226.13333333333;	0.0;	7.2;	0.0;	0.06666666666666667
1376371250;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	173362.66666666666;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376371550;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	232082.13333333333;	0.0;	7.4;	0.0;	0.06666666666666667
1376371850;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	174760.53333333333;	0.0;	7.2;	0.0;	0.06666666666666667
1376372150;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	153789.06666666668;	0.0;	8.066666666666666;	0.0;	0.06666666666666667
1376372450;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	183149.6;	0.0;	8.0;	0.0;	0.13333333333333333
1376372750;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	160780.8;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376373050;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	180353.06666666668;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376373350;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	239073.6;	0.0;	9.2;	0.0;	0.6
1376373651;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	230684.8;	0.0;	7.0;	0.0;	0.06666666666666667
1376373951;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	201323.2;	0.0;	7.533333333333333;	0.0;	0.3333333333333333
1376374251;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	216704.26666666666;	0.0;	7.2;	0.0;	0.06666666666666667
1376374551;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	218101.6;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376374851;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	180353.6;	0.0;	7.2;	0.0;	0.06666666666666667
1376375151;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	181752.26666666666;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376375451;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	150993.06666666668;	0.5333333333333333;	8.066666666666666;	0.0;	0.06666666666666667
1376375751;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	185946.13333333333;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376376051;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	176159.73333333334;	0.0;	8.133333333333333;	0.0;	0.13333333333333333
1376376351;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	178954.66666666666;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376376651;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	198526.93333333332;	0.0;	7.4;	0.0;	0.13333333333333333
1376376951;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	239072.8;	0.0;	9.0;	0.0;	0.6
1376377251;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	177556.53333333333;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376377551;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	174761.33333333334;	0.0;	7.6;	0.0;	0.4
1376377851;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	208314.4;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376378151;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	201324.53333333333;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376378451;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	202722.93333333332;	0.0;	7.4;	0.0;	0.2
1376378751;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	201324.0;	0.0;	7.8;	0.0;	0.13333333333333333
1376379051;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	211110.66666666666;	0.0;	7.333333333333333;	0.0;	0.2
1376379351;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	201324.8;	0.0;	7.6;	0.0;	0.2
1376379651;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	156586.13333333333;	0.0;	8.133333333333333;	0.0;	0.2
1376379951;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	167772.0;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376380251;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	176158.4;	0.0;	7.266666666666667;	0.0;	0.2
1376380551;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	225091.46666666667;	0.0;	9.266666666666667;	0.0;	0.6666666666666666
1376380851;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	184547.2;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376381151;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	209713.6;	0.0;	7.533333333333333;	0.0;	0.4
1376381451;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	222295.2;	0.0;	7.4;	0.0;	0.13333333333333333
1376381751;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	201325.6;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376382051;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	197130.4;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376382351;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	192936.0;	0.0;	7.2;	0.0;	0.06666666666666667
1376382651;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	188740.8;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376382951;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	180353.6;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376383251;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	184548.0;	0.0;	8.0;	0.0;	0.13333333333333333
1376383551;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	171964.8;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376383851;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	150992.8;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376384151;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	201324.0;	0.0;	8.666666666666666;	0.0;	0.6
1376384451;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	201324.0;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376384752;	1;	2599.999304;	12.133330085333332;	0.4666666666666666;	2097152.0;	194334.13333333333;	0.0;	7.466666666666667;	0.0;	0.4
1376385052;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	239072.8;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376385352;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	141207.46666666667;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376385652;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	150993.6;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376385952;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	166373.06666666668;	0.0;	7.4;	0.0;	0.06666666666666667
1376386252;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	209712.8;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376386552;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	178955.46666666667;	0.0;	7.2;	0.0;	0.06666666666666667
1376386852;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	184548.0;	0.0;	8.266666666666667;	0.0;	0.13333333333333333
1376387152;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	167770.4;	0.0;	6.933333333333334;	0.0;	0.06666666666666667
1376387452;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	187344.26666666666;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376387752;	1;	2599.999304;	27.733325909333335;	1.0666666666666667;	2097152.0;	260044.0;	0.0;	10.0;	0.0;	0.7333333333333333
1376388052;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	209712.0;	0.0;	8.2;	0.0;	0.06666666666666667
1376388352;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	171964.8;	0.5333333333333333;	7.4;	0.0;	0.3333333333333333
1376388652;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	197130.4;	0.0;	7.2;	0.0;	0.06666666666666667
1376388952;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	164974.93333333332;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376389252;	1;	2599.999304;	12.133330085333332;	0.4666666666666666;	2097152.0;	180354.4;	0.0;	7.2;	0.0;	0.06666666666666667
1376389552;	1;	2599.999304;	12.133330085333332;	0.4666666666666666;	2097152.0;	188742.4;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376389852;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	205519.2;	0.0;	7.2;	0.0;	0.06666666666666667
1376390152;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	134216.8;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376390452;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	162177.86666666667;	0.0;	7.933333333333334;	0.0;	0.13333333333333333
1376390752;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	167770.4;	0.0;	7.2;	0.0;	0.13333333333333333
1376391052;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	201324.8;	0.0;	7.6;	0.0;	0.13333333333333333
1376391352;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	184547.2;	0.0;	8.8;	0.0;	0.6666666666666666
1376391652;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	188742.4;	0.0;	7.6;	0.0;	0.13333333333333333
1376391952;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	141207.46666666667;	0.0;	7.666666666666667;	0.0;	0.4666666666666667
1376392252;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	184547.2;	0.0;	7.6;	0.0;	0.13333333333333333
1376392552;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	194334.4;	0.0;	7.2;	0.0;	0.13333333333333333
1376392853;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	176159.2;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376393153;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	180353.6;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376393453;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	188740.8;	0.0;	18.2;	0.0;	0.13333333333333333
1376393753;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	226489.6;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376394053;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	155187.2;	0.0;	8.333333333333334;	0.0;	0.2
1376394353;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	167770.4;	0.0;	7.2;	0.0;	0.13333333333333333
1376394653;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	169168.53333333333;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376394953;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	230684.8;	0.0;	9.133333333333333;	0.0;	0.6666666666666666
1376395253;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	234878.4;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376395552;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	176159.2;	0.0;	7.533333333333333;	0.0;	0.3333333333333333
1376395852;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	167769.6;	0.0;	7.4;	0.0;	0.06666666666666667
1376396152;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	205518.4;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376396452;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	190140.26666666666;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376396752;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	155188.0;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376397052;	1;	2599.999304;	12.133330085333332;	0.4666666666666666;	2097152.0;	155187.2;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376397352;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	148197.06666666668;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376397652;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	197129.6;	0.0;	8.133333333333333;	0.0;	0.13333333333333333
1376397952;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	146800.0;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376398252;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	171964.0;	12.533333333333333;	14.333333333333334;	0.0;	0.06666666666666667
1376398552;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	234879.2;	0.0;	9.4;	0.0;	0.6
1376398853;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	218100.8;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376399153;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	185945.86666666667;	0.0;	7.333333333333333;	0.0;	0.3333333333333333
1376399453;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	213908.0;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376399753;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	150994.4;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376400053;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	173363.73333333334;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376400353;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	180352.8;	0.0;	7.4;	0.0;	0.06666666666666667
1376400653;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	163576.8;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376400953;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	183148.53333333333;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376401253;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	162177.33333333334;	0.0;	7.733333333333333;	0.0;	0.13333333333333333
1376401553;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	171964.26666666666;	0.0;	8.266666666666667;	0.0;	0.06666666666666667
1376401853;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	174761.06666666668;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376402153;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	209712.8;	0.0;	8.866666666666667;	0.0;	0.6
1376402453;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	173362.93333333332;	0.0;	7.4;	0.0;	0.13333333333333333
1376402753;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	226490.4;	0.0;	7.4;	0.0;	0.4
1376403053;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	188741.6;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376403353;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	197129.6;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376403653;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	167771.2;	0.0;	7.4;	0.0;	0.06666666666666667
1376403953;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.4;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376404253;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	150994.4;	0.0;	7.2;	0.0;	0.06666666666666667
1376404553;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	169169.33333333334;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376404853;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	211111.2;	0.0;	7.933333333333334;	0.0;	0.13333333333333333
1376405153;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	205518.4;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376405453;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	178956.26666666666;	0.0;	7.2;	0.0;	0.13333333333333333
1376405753;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	318765.06666666665;	0.0;	8.8;	0.0;	0.6666666666666666
1376406053;	1;	2599.999304;	39.866655994666665;	1.5333333333333334;	2097152.0;	299191.73333333334;	138.86666666666667;	27.8;	0.06666666666666667;	0.4666666666666667
1376406353;	1;	2599.999304;	57.199984688;	2.2;	2097152.0;	759166.6666666666;	0.0;	8.466666666666667;	0.0;	0.4666666666666667
1376406653;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	383078.13333333336;	34.4;	14.266666666666667;	0.0;	0.13333333333333333
1376406954;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	321561.86666666664;	0.0;	7.4;	0.0;	0.13333333333333333
1376407254;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	216702.66666666666;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376407554;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	176158.66666666666;	0.0;	7.2;	0.0;	0.13333333333333333
1376407854;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	240471.46666666667;	0.0;	7.133333333333334;	0.0;	0.13333333333333333
1376408154;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	211110.93333333332;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376408454;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	176159.2;	0.0;	7.733333333333333;	0.0;	0.2
1376408754;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	155188.0;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376409054;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	192935.46666666667;	0.0;	7.2;	0.0;	0.06666666666666667
1376409354;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	265637.3333333333;	0.0;	9.266666666666667;	0.0;	0.6
1376409654;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	176158.66666666666;	0.0;	6.933333333333334;	0.0;	0.06666666666666667
1376409954;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	162178.66666666666;	0.0;	7.6;	0.0;	0.3333333333333333
1376410254;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	163575.73333333334;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376410554;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	220897.6;	0.0;	7.6;	0.0;	0.06666666666666667
1376410854;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	222295.2;	0.0;	7.0;	0.0;	0.06666666666666667
1376411154;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	194333.86666666667;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376411454;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	199926.93333333332;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376411754;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	162177.86666666667;	0.0;	7.4;	0.0;	0.06666666666666667
1376412054;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	192935.73333333334;	0.0;	7.866666666666666;	0.0;	0.06666666666666667
1376412354;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	195732.26666666666;	0.0;	3.933333333333333;	0.0;	0.06666666666666667
1376412654;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	157983.46666666667;	0.0;	7.2;	0.0;	0.06666666666666667
1376412954;	1;	2599.999304;	27.733325909333335;	1.0666666666666667;	2097152.0;	230684.8;	0.0;	9.2;	0.0;	0.5333333333333333
1376413255;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	178956.0;	0.0;	7.2;	0.0;	0.06666666666666667
1376413555;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	169168.53333333333;	0.0;	7.133333333333334;	0.0;	0.3333333333333333
1376413855;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	150993.6;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376414155;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	180352.8;	0.0;	6.533333333333333;	0.0;	0.0
1376414455;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	194333.33333333334;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376414755;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	206917.06666666668;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376415055;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	144002.93333333332;	0.0;	7.4;	0.0;	0.06666666666666667
1376415355;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	191537.06666666668;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376415655;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	178955.73333333334;	0.0;	7.8;	0.0;	0.13333333333333333
1376415955;	1;	2599.999304;	53.733318949333324;	2.0666666666666664;	2097152.0;	408243.2;	139.53333333333333;	20.4;	0.0;	0.2
1376416255;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	399855.2;	0.0;	8.4;	0.0;	0.06666666666666667
1376416555;	1;	2599.999304;	27.733325909333335;	1.0666666666666667;	2097152.0;	296394.93333333335;	34.4;	11.8;	0.0;	0.7333333333333333
1376416855;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	234879.46666666667;	0.0;	7.2;	0.0;	0.06666666666666667
1376417155;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	152392.53333333333;	0.0;	7.333333333333333;	0.0;	0.4
1376417455;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	195732.26666666666;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376417755;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	139809.33333333334;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376418055;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	160779.73333333334;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376418355;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	156586.13333333333;	0.0;	7.4;	0.0;	0.13333333333333333
1376418655;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	171965.6;	0.0;	7.2;	0.0;	0.13333333333333333
1376418955;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	176159.46666666667;	0.0;	7.4;	0.0;	0.13333333333333333
1376419255;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	190141.06666666668;	0.0;	8.0;	0.0;	0.26666666666666666
1376419555;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	149595.73333333334;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376419855;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	202722.66666666666;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376420155;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	205518.66666666666;	0.0;	8.866666666666667;	0.0;	0.5333333333333333
1376420455;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	202722.13333333333;	0.0;	7.4;	0.0;	0.13333333333333333
1376420755;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	184546.93333333332;	0.0;	7.733333333333333;	0.0;	0.3333333333333333
1376421055;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	174761.06666666668;	0.0;	7.133333333333334;	0.0;	0.2
1376421355;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	157984.26666666666;	0.0;	7.6;	0.0;	0.13333333333333333
1376421655;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	194335.2;	0.0;	6.933333333333334;	0.0;	0.13333333333333333
1376421955;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	164974.66666666666;	0.0;	7.4;	0.0;	0.13333333333333333
1376422255;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	190138.4;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376422555;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	148197.86666666667;	0.0;	7.4;	0.0;	0.2
1376422856;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	198528.0;	0.0;	7.733333333333333;	0.0;	0.13333333333333333
1376423156;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	197130.93333333332;	0.0;	7.866666666666666;	0.0;	0.13333333333333333
1376423456;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	181750.4;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376423756;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	285209.86666666664;	0.0;	8.733333333333333;	0.0;	0.6666666666666666
1376424056;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	232082.4;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376424356;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	144003.73333333334;	0.0;	7.6;	0.0;	0.4
1376424656;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	146798.4;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376424956;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	163576.26666666666;	0.0;	7.6;	0.0;	0.13333333333333333
1376425256;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	146799.2;	0.0;	7.2;	0.0;	0.06666666666666667
1376425556;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	171965.6;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376425856;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	160779.46666666667;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376426156;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	173362.66666666666;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376426456;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	204120.53333333333;	0.0;	8.066666666666666;	0.0;	0.06666666666666667
1376426756;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	170567.2;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376427056;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	222295.46666666667;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
